Date,Pollutant,Polluted,Non-polluted
Jun1-23,Nitrate,NA,NA
Jun1-23,Nitrate,NA,NA
Jun1-23,Nitrate,NA,NA
Jun1-23,Nitrate,NA,NA
Jun1-23,Nitrate,NA,NA
Jun1-23,Phosphate,0.38,0.08
Jun1-23,Phosphate,0.33,0.07
Jun1-23,Phosphate,0.4,0.04
Jun1-23,Phosphate,0.28,0.09
Jun1-23,Phosphate,0.53,0.09
Jul1-23,Nitrate,58.2,33.41
Jul1-23,Nitrate,60.91,34.16
Jul1-23,Nitrate,62.31,34.16
Jul1-23,Nitrate,59.53,33.86
Jul1-23,Nitrate,61.04,35.01
Jul1-23,Phosphate,0.14,0.1
Jul1-23,Phosphate,0.12,0.07
Jul1-23,Phosphate,0.17,0.09
Jul1-23,Phosphate,0.17,0.05
Jul1-23,Phosphate,0.14,0.09
Jul2-23,Nitrate,74.62,39.47
Jul2-23,Nitrate,76.07,39.1
Jul2-23,Nitrate,77.17,39.99
Jul2-23,Nitrate,74.97,38.77
Jul2-23,Nitrate,75.57,39.4
Jul2-23,Phosphate,0.07,0
Jul2-23,Phosphate,0.06,0.01
Jul2-23,Phosphate,0.06,0.01
Jul2-23,Phosphate,0.06,0
Jul2-23,Phosphate,0.08,0.01
Aug1-23,Nitrate,71.95,37.94
Aug1-23,Nitrate,72.68,30.13
Aug1-23,Nitrate,74.19,32.32
Aug1-23,Nitrate,72.98,39.27
Aug1-23,Nitrate,73.17,39.76
Aug1-23,Phosphate,0.12,0.01
Aug1-23,Phosphate,0.06,0
Aug1-23,Phosphate,0.06,0.02
Aug1-23,Phosphate,0.05,0
Aug1-23,Phosphate,0.1,0.01
Aug2-23,Nitrate,70.47,31.56
Aug2-23,Nitrate,73.02,33.28
Aug2-23,Nitrate,74.13,35.78
Aug2-23,Nitrate,71.65,33.07
Aug2-23,Nitrate,70.51,33.91
Aug2-23,Phosphate,0.12,0.02
Aug2-23,Phosphate,0.05,0.01
Aug2-23,Phosphate,0.09,0
Aug2-23,Phosphate,0.1,0
Aug2-23,Phosphate,0.07,0.02
Sep1-23,Nitrate,67.03,30.45
Sep1-23,Nitrate,69.66,32.56
Sep1-23,Nitrate,71.83,34.71
Sep1-23,Nitrate,68.8,32.08
Sep1-23,Nitrate,69.28,32.2
Sep1-23,Phosphate,0.04,0
Sep1-23,Phosphate,0.08,0
Sep1-23,Phosphate,0.07,0.01
Sep1-23,Phosphate,0.08,0.01
Sep1-23,Phosphate,0.04,0.01
Sep2-23,Nitrate,74.72,32.63
Sep2-23,Nitrate,77.34,34.45
Sep2-23,Nitrate,79.54,36.56
Sep2-23,Nitrate,76.1,33.92
Sep2-23,Nitrate,76.8,35.16
Sep2-23,Phosphate,0.08,0.01
Sep2-23,Phosphate,0.08,0.01
Sep2-23,Phosphate,0.06,0
Sep2-23,Phosphate,0.07,0.02
Sep2-23,Phosphate,0.07,0
