Status,Outfall,Start,End,Duration,Bathing Site,OBJECTID,Impact Status,Ended Status,Duration in Decimals,Event ID
Genuine,NEWHAVEN,6/12/2023 1:50:55 AM,6/12/2023 2:00:04 AM,9 minutes ,SEAFORD,35384,Not Impacted,Ended,0.15,825823
Genuine,NEWHAVEN,6/18/2023 2:26:51 PM,6/18/2023 3:06:22 PM,39 minutes ,SEAFORD,35360,Not Impacted,Ended,0.65,827976
Genuine,NEWHAVEN,6/18/2023 3:52:14 PM,6/18/2023 7:15:17 PM,3 hours 23 minutes ,SEAFORD,35351,Not Impacted,Ended,3.38,828019
Genuine,NEWHAVEN,6/20/2023 6:12:45 AM,6/20/2023 10:40:45 AM,4 hours 28 minutes ,SEAFORD,35264,Not Impacted,Ended,4.46,828829
Genuine,NEWHAVEN,6/20/2023 10:50:34 AM,6/20/2023 12:46:42 PM,1 hours 56 minutes ,SEAFORD,35255,Not Impacted,Ended,1.93,829337
Genuine,NEWHAVEN,7/4/2023 11:34:29 PM,7/5/2023 2:37:18 AM,3 hours 2 minutes ,SEAFORD,35164,Not Impacted,Ended,3.03,833725
Genuine,NEWHAVEN,7/8/2023 12:40:42 PM,7/8/2023 1:40:42 PM,1 hours 0 minutes ,SEAFORD,35124,Not Impacted,Ended,1,834941
Genuine,NEWHAVEN,7/14/2023 5:45:16 PM,7/14/2023 6:38:11 PM,52 minutes ,SEAFORD,35098,Not Impacted,Ended,0.86,836747
Genuine,NEWHAVEN,7/24/2023 9:12:25 AM,7/24/2023 10:03:58 AM,51 minutes ,SEAFORD,35018,Not Impacted,Ended,0.85,840289
Genuine,NEWHAVEN,7/24/2023 10:45:00 PM,7/24/2023 11:18:45 PM,33 minutes ,SEAFORD,34989,Not Impacted,Ended,0.55,840548
Genuine,NEWHAVEN,7/26/2023 7:40:20 PM,7/27/2023 2:59:10 AM,7 hours 18 minutes ,SEAFORD,34930,Not Impacted,Ended,7.3,841175
Genuine,NEWHAVEN,7/27/2023 7:13:21 AM,7/27/2023 7:54:54 AM,41 minutes ,SEAFORD,34909,Not Impacted,Ended,0.68,841619
Genuine,NEWHAVEN,7/31/2023 11:20:59 AM,7/31/2023 12:01:15 PM,40 minutes ,SEAFORD,34871,Not Impacted,Ended,0.66,842880
Genuine,NEWHAVEN,7/31/2023 3:53:36 PM,7/31/2023 4:25:23 PM,31 minutes ,SEAFORD,34867,Not Impacted,Ended,0.51,842966
Genuine,NEWHAVEN,8/1/2023 12:37:03 PM,8/1/2023 12:47:38 PM,10 minutes ,SEAFORD,34864,Not Impacted,Ended,0.16,843193
Genuine,NEWHAVEN,8/1/2023 1:06:01 PM,8/1/2023 1:14:29 PM,8 minutes ,SEAFORD,34863,Not Impacted,Ended,0.13,843196
Genuine,NEWHAVEN,8/1/2023 1:30:01 PM,8/1/2023 1:37:06 PM,7 minutes ,SEAFORD,34862,Not Impacted,Ended,0.11,843200
Genuine,NEWHAVEN,8/2/2023 1:50:38 AM,8/2/2023 5:44:12 AM,3 hours 53 minutes ,SEAFORD,34845,Not Impacted,Ended,3.88,843310
Genuine,NEWHAVEN,8/2/2023 3:00:05 PM,8/2/2023 7:07:52 PM,4 hours 7 minutes ,SEAFORD,34815,Not Impacted,Ended,4.11,843724
Genuine,NEWHAVEN,8/18/2023 11:09:05 PM,8/19/2023 2:07:58 AM,2 hours 58 minutes ,SEAFORD,34418,Not Impacted,Ended,2.96,849001
Genuine,NEWHAVEN,8/24/2023 3:34:55 PM,8/24/2023 8:28:33 PM,4 hours 53 minutes ,SEAFORD,34158,Not Impacted,Ended,4.88,851344
Genuine,NEWHAVEN,8/26/2023 12:22:41 AM,8/26/2023 4:31:53 AM,4 hours 9 minutes ,SEAFORD,34125,Not Impacted,Ended,4.15,851954
Genuine,NEWHAVEN,8/29/2023 9:42:55 PM,8/30/2023 1:37:15 AM,3 hours 54 minutes ,SEAFORD,34099,Not Impacted,Ended,3.9,852961
Genuine,NEWHAVEN,8/31/2023 11:38:10 AM,8/31/2023 2:04:19 PM,2 hours 26 minutes ,SEAFORD,34009,Not Impacted,Ended,2.43,853479
Genuine,NEWHAVEN,8/31/2023 2:09:58 PM,8/31/2023 4:51:40 PM,2 hours 41 minutes ,SEAFORD,33998,Not Impacted,Ended,2.68,853531
Genuine,NEWHAVEN,9/1/2023 2:18:12 AM,9/1/2023 2:39:22 AM,21 minutes ,SEAFORD,33970,Not Impacted,Ended,0.35,853823
Genuine,NEWHAVEN,9/1/2023 3:44:09 AM,9/1/2023 4:13:45 AM,29 minutes ,SEAFORD,33969,Not Impacted,Ended,0.48,853836
