Date,Pollutant,Polluted,Non-polluted
Sep-22,Nitrate,71.2,24.8
Sep-22,Nitrate,65.13,29.9
Sep-22,Nitrate,66.81,28.8
Sep-22,Phosphate,0.12,0.01
Sep-22,Phosphate,0.1,0.01
Sep-22,Phosphate,0.1,0.02
Oct-22,Nitrate,71,28.9
Oct-22,Nitrate,69.8,34.7
Oct-22,Nitrate,68.39,30.1
Oct-22,Phosphate,0.1,0.01
Oct-22,Phosphate,0.09,0.01
Oct-22,Phosphate,0.11,0.02
Nov-22,Nitrate,72.13,37.7
Nov-22,Nitrate,65.12,32.1
Nov-22,Nitrate,67.26,30.3
Nov-22,Phosphate,0.13,0.01
Nov-22,Phosphate,0.11,0.01
Nov-22,Phosphate,0.12,0.01
