name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Peacehaven, England, United Kingdom",2023-06-01,64.5,50.1,56.3,64.5,50.1,56.3,48.1,74.9,0,0,0,,0,0,25.5,15.8,36.5,1024,64,14.4,312.6,27.2,9,,2023-06-01T04:52:27,2023-06-01T21:03:55,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-06-02,63.3,50.6,55.3,63.3,50.6,55.3,44.4,67.3,0,0,0,,0,0,22.2,13.2,48.2,1023.6,71.4,15.7,249,21.7,9,,2023-06-02T04:51:42,2023-06-02T21:04:57,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,C1663,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-06-03,69.5,47.7,57.9,69.5,43.3,57,47,69.3,0,0,0,,0,0,23.7,15.1,38.4,1022.3,33.7,14,263.1,22.8,9,,2023-06-03T04:51:00,2023-06-03T21:05:57,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-06-04,70.8,49.4,59.7,70.8,45.6,59.3,46.3,63.3,0,0,0,,0,0,20.2,12.3,36.5,1022.7,0,17.4,317.2,27.4,9,,2023-06-04T04:50:20,2023-06-04T21:06:55,0.5,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-06-05,65.7,48.3,56.6,65.7,43.4,55.8,47.4,72.4,0,0,0,,0,0,21.3,12.9,36.6,1023.2,20.8,17.1,318.3,27.3,9,,2023-06-05T04:49:44,2023-06-05T21:07:51,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-06-06,65.3,48.1,56.7,65.3,44.7,55.8,47.3,71.9,0,0,0,,0,0,22,12.5,38.4,1022.2,32.1,15.8,309,26.5,8,,2023-06-06T04:49:10,2023-06-06T21:08:45,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-06-07,68.9,49.7,58.3,68.9,45.3,57.8,49.6,73.8,0,0,0,,0,0,20.1,12.9,35.8,1020.6,24.7,12.2,310.2,26.8,8,,2023-06-07T04:48:39,2023-06-07T21:09:36,0.62,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-06-08,70.9,50.4,59.6,70.9,50.4,59.6,49.1,70.3,0,0,0,,0,0,23.5,15,37.3,1017.3,20.3,13.1,313.1,26.9,8,,2023-06-08T04:48:11,2023-06-08T21:10:25,0.65,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-06-09,76.4,53.7,64.4,76.4,53.7,64.4,54.4,71.8,0,0,0,,0,0,23.7,14.3,35.2,1012.6,12.9,9.7,280.6,24.1,8,,2023-06-09T04:47:46,2023-06-09T21:11:11,0.69,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-06-10,81.9,58.2,70.6,81.9,58.2,70.6,57,64.4,0,0,0,,0,0,15.4,10.5,73.3,1012.3,4.9,12,313.7,27,8,,2023-06-10T04:47:23,2023-06-10T21:11:56,0.75,Clear,Clear conditions throughout the day.,clear-day,"03769099999,D6756,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
